,label number,method,auc,f1_macro,f1_micro,sensitivity,specificity
0,10,bce,0.9123,0.6502,0.6579,0.6235,0.9379
1,10,fec1,0.9044,0.6661,0.6676,0.6477,0.9332
2,10,fec2,0.9029,0.6603,0.6620,0.6384,0.9338
3,10,fec3,0.9049,0.6691,0.6724,0.6672,0.9276
4,10,fec4,0.9025,0.6659,0.6668,0.6422,0.9352
5,20,bce,0.9168,0.5767,0.6022,0.5438,0.9645
6,20,fec1,0.9165,0.5903,0.6118,0.5651,0.9619
7,20,fec2,0.9205,0.6051,0.6177,0.5820,0.9591
8,20,fec3,0.9272,0.6054,0.6168,0.6192,0.9475
9,20,fec4,0.9205,0.5955,0.6139,0.6364,0.9409
10,30,bce,0.9055,0.4978,0.5432,0.4698,0.9734
11,30,fec1,0.9203,0.4911,0.5468,0.5142,0.9625
12,30,fec2,0.9182,0.5294,0.5510,0.5982,0.9413
13,30,fec3,0.9139,0.5237,0.5469,0.6312,0.9307
14,30,fec4,0.9245,0.5521,0.5803,0.5737,0.9587
